 THE CELL LAB CELLTONE PRICE LIST,,,,,,,,,,,,,,,,,,,,
, (CELLTONE LINE),,,,,,,,,,,,,,,,,,,
,,,,,,,1320,MOQ: 1CT~10CT,1320,,,,,,,,,,,
,No. ,"
Image","
 (Product Name)","
(Volume) ","
(Description)","판매가
(KRW)","MSRP
(USD)","
공급가(30%)
(KRW)","OFFER
PRICE(30%)
(USD)","
(EXPIRY DATE)
","
(EA/CT)","
(CT Size)
","
(Weight)
","HS CODE
","PRODUCT CODE
","ORDER QTY'
(EA)
訂購數量","ORDER
(USD)
","
(STOCK)
","CPNP
Certified",
,1,,"
THE CELL LAB CELLTONE FOAM CLEANSER",100ml,"A mild, low-irritation foam cleanser that cleanses while delivering nourishment and hydration, formulated with naturally-derived surfactants."," ₩ 35,000 ", US$ 27 ," ₩ 10,500 ", US$ 7.95 ,2027.06.03,24,31.8*22*21,4.11,3304.99.1000,09191,, US$ -   ,3807,~JUNE 2025,
,2,,"
THE CELL LAB CELLTONE MILD FOAM CLEANSER",100ml,"A low-irritation, mildly acidic cleanser safe for even sensitive skin."," ₩ 35,000 ", US$ 27 ," ₩ 10,500 ", US$ 7.95 ,2026.05.26,24,31*22.8*21.8,4.06,3304.99.1000,06791,, US$ -   ,3117,~JUNE 2025,
,3,,"
THE CELL LAB CELLTONE CLEANSING OIL",200ml,"With a refreshing texture and excellent cleansing power,
removes any makeup gently and thoroughly,
with added sebum care benefits."," ₩ 36,000 ", US$ 27 ," ₩ 10,800 ", US$ 8.18 ,2025.08.28,48,41*32*23,13.35,3304.99.1000,06490,, US$ -   ,0,~JUNE 2025,Discontinued
,4,,"
THE CELL LAB CELLTONE TONER",150ml,A low-irritation toner that provides powerful hydration and helps improve exfoliation and skin tone," ₩ 35,000 ", US$ 27 ," ₩ 10,500 ", US$ 7.95 ,2026.03.12,48,40*30.5*20,12.89,3304.99.1000,06488,, US$ -   ,2720,~JUNE 2025,
,5,,"
THE CELL LAB CELLTONE AMPOULE",50ml,"A highly concentrated, low-irritation ampoule that strengthens the skin barrier and delivers intense hydration."," ₩ 49,000 ", US$ 37 ," ₩ 14,700 ", US$ 11.14 ,2027.11.14,48,39*30*15,6.21,3304.99.1000,07043,, US$ -   ,4940,~JUNE 2025,
,6,,"
THE CELL LAB CELLTONE CREAM",50ml,A low-irritation moisturizing cream that helps the skin maintain its moisture barrier and prevents dryness.," ₩ 48,000 ", US$ 36 ," ₩ 14,400 ", US$ 10.91 ,2026.06.18,24,32*26.7*15,4.93,3304.99.1000,07044,, US$ -   ,618,~JUNE 2025,
,7,,"
THE CELL LAB CELLTONE SUN CREAM",70g,"A low-irritation mineral sunscreen with UV protection, tone-correcting effect, and easy cleansing."," ₩ 44,000 ", US$ 33 ," ₩ 13,200 ", US$ 10.00 ,2027.11.15,72,43*32*14,8.24,3304.99.1000,06491,, US$ -   ,1000,~JUNE 2025,
,8,,"
THE CELL LAB CELLTONE BODY LOTION",315ml,A low-irritation body lotion that forms a moisture barrier on dry skin to keep it hydrated and supple.," ₩ 39,000 ", US$ 30 ," ₩ 11,700 ", US$ 8.86 ,2026.03.12,15,38*25*18,6.8,3304.99.1000,06492,, US$ -   ,27,~JUNE 2025,Discontinued
,9,,"더셀랩 셀톤 7도 수딩마스크
THE CELL LAB CELLTONE 7°C SOOTHING SHEET MASK ",27ml/5sheet," 
A specially patented fabric (Patent No. 10-2898048) with a cooling effect through temperature reduction.
A cosmetic composition for soothing irritated skin and providing a cooling sensation, included in an adhesive sheet mask
                        "," ₩ 30,000 ", US$ 23 ," ₩ 9,000 ", US$ 6.82 ,2027.08.12,40,54*23*19,8.56,3307.90.4000,08186,, US$ -   ,8609,~JUNE 2025,
,10,,"더셀랩 셀톤 약산성 폼클렌저
THE CELL LAB CELLTONE MILD FOAM CLEANSER",10ml,"A mildly acidic, low-irritation cleanser safe for even sensitive skin."," ₩ 1,000 ", US$ 1 , ₩ 100 , US$ 0.08 ,2026.04.01,100,,,3304.99.1000,07046,, US$ -   ,2235,~JUNE 2025,
,11,,"더셀랩 셀톤 폼클렌저
THE CELL LAB CELLTONE FOAM CLEANSER",2ml,"A mild, low-irritation foam cleanser that delivers nourishment and hydration while cleansing, formulated with naturally derived surfactants."," ₩ 1,000 ", US$ 1 , ₩ 100 , US$ 0.08 ,2027.06.03,100,,,3304.99.1000,09362,, US$ -   ,3872,~JUNE 2025,
,12,,"더셀랩 셀톤 앰플
THE CELL LAB CELLTONE AMPOULE",2ml,"A highly concentrated, low-irritation ampoule that strengthens the skin barrier and provides intense hydration."," ₩ 1,000 ", US$ 1 , ₩ 300 , US$ 0.23 ,2027.11.14,100,,,3304.99.1000,07045,, US$ -   ,8173,~JUNE 2025,
,13,,"더셀랩 셀톤 선크림
THE CELL LAB CELLTONE SUN CREAM",2ml,"A low-irritation mineral sunscreen with UV protection, tone-correcting effects, and easy cleansing"," ₩ 1,000 ", US$ 1 , ₩ 300 , US$ 0.23 ,2027.11.15,72,,,3304.99.1000,06491,, US$ -   ,1000,~JUNE 2025,
,14,,"더셀랩 셀톤 크림
THE CELL LAB CELLTONE CREAM",2ml,"A low-irritation moisturizing cream that helps the skin retain its own moisture barrier, preventing dryness."," ₩ 1,000 ", US$ 1 , ₩ 100 , US$ 0.08 ,2026.06.18,100,,,3304.99.1000,06899,, US$ -   ,0,~JUNE 2025,Discontinued
,,,,,,,,,,,,,,,,TOTAL ORDER AMOUNT, US$ -   ,,,
